 Instron DAT-file 
 ================ 
 
Test data:
----------
Filename : 	rope1.DAT
Date : 	 1AUG12  
User : 	bp                            
Sample ID : 	rope    
Machine : 	4505
Test Type : 	Tensile
Method number : 	0   	Tensile               kvds            6/10/2010             
Sample Temp : 	20	°C
Humidity : 	50	%
Speed : 	5	mm/min
Samplerate : 	10	pts/s
Specimen gauge length : 	400	mm
Grip distance : 	400	mm
 
Specimen data:
--------------
Specimen number : 	1
Specimen geometry : 	cylindrical
Surface : 	3.14	mm²
Diameter : 	2	mm
Extensometer removed at point :  0 
Max Load : 	3.511917	kN
Displ. at Max Load : 	.365631	mm
Comment : 	red rope
 
Test results :
--------------
Point nr.	Time [s]	Displ [mm]	Load [kN]
154	15.4	1.258672	0.663235
155	15.5	1.266723	0.667896
156	15.6	1.27541	0.670753
157	15.7	1.283132	0.674536
158	15.8	1.291234	0.677422
159	15.9	1.300277	0.682124
160	16	1.308329	0.684622
161	16.1	1.316634	0.687423
162	16.2	1.324991	0.691333
163	16.3	1.332967	0.695741
164	16.4	1.341196	0.697171
165	16.5	1.349756	0.699784
166	16.6	1.358011	0.704965
167	16.7	1.366088	0.708172
168	16.8	1.374089	0.711928
169	16.9	1.382522	0.713736
170	17	1.390675	0.718047
171	17.1	1.399362	0.72128
172	17.2	1.407389	0.725464
173	17.3	1.415999	0.727326
174	17.4	1.423848	0.731544
175	17.5	1.432331	0.734391
176	17.6	1.440967	0.737132
177	17.7	1.449349	0.741844
178	17.8	1.45735	0.745184
179	17.9	1.465682	0.747484
180	18	1.473987	0.753038
181	18.1	1.482446	0.757063
182	18.2	1.490675	0.758894
183	18.3	1.499006	0.763739
184	18.4	1.507033	0.766104
185	18.5	1.515643	0.77133
186	18.6	1.524229	0.775386
187	18.7	1.532357	0.779497
188	18.8	1.540891	0.783774
189	18.9	1.549044	0.785905
190	19	1.557807	0.79086
191	19.1	1.566037	0.793564
192	19.2	1.573708	0.797451
193	19.3	1.582522	0.799993
194	19.4	1.590675	0.80462
195	19.5	1.599006	0.808824
196	19.6	1.607718	0.811096
197	19.7	1.615719	0.816556
198	19.8	1.624152	0.819781
199	19.9	1.632356	0.823506
200	20	1.640891	0.827158
201	20.1	1.649476	0.830779
202	20.2	1.657909	0.835692
203	20.3	1.666367	0.839152
204	20.4	1.674393	0.843215
205	20.5	1.682877	0.846138
206	20.6	1.691411	0.850864
207	20.7	1.699997	0.853198
208	20.8	1.708125	0.857882
209	20.9	1.716684	0.860705
210	21	1.72499	0.864634
211	21.1	1.733372	0.868552
212	21.2	1.741551	0.873178
213	21.3	1.750009	0.876867
214	21.4	1.758772	0.880014
215	21.5	1.766672	0.885073
216	21.6	1.775003	0.887923
217	21.7	1.783486	0.891424
218	21.8	1.791411	0.895555
219	21.9	1.799717	0.898796
220	22	1.808124	0.903157
221	22.1	1.815998	0.906105
222	22.2	1.824228	0.911404
223	22.3	1.832686	0.91428
224	22.4	1.840916	0.917833
225	22.5	1.84945	0.923085
226	22.6	1.857807	0.927305
227	22.7	1.866036	0.930441
228	22.8	1.874469	0.933963
229	22.9	1.882648	0.938267
230	23	1.891081	0.941487
231	23.1	1.899234	0.945853
232	23.2	1.907718	0.951339
233	23.3	1.915668	0.953392
234	23.4	1.924228	0.957138
235	23.5	1.932407	0.962478
236	23.6	1.940154	0.964572
237	23.7	1.949069	0.969939
238	23.8	1.956994	0.973429
239	23.9	1.964995	0.977462
240	24	1.972996	0.982349
241	24.1	1.981962	0.986058
242	24.2	1.989988	0.990591
243	24.3	1.99837	0.994056
244	24.4	2.007032	0.998547
245	24.5	2.015007	1.002621
246	24.6	2.023288	1.006888
247	24.7	2.03167	1.011879
248	24.8	2.04028	1.014031
249	24.9	2.048789	1.019345
250	25	2.057044	1.023445
251	25.1	2.06568	1.028348
252	25.2	2.073529	1.031729
253	25.3	2.082292	1.036528
254	25.4	2.090318	1.040727
255	25.5	2.098675	1.044687
256	25.6	2.106651	1.048761
257	25.7	2.115007	1.051835
258	25.8	2.123669	1.056977
259	25.9	2.131314	1.061004
260	26	2.139925	1.065084
261	26.1	2.148078	1.068757
262	26.2	2.156409	1.074113
263	26.3	2.164994	1.076223
264	26.4	2.172691	1.082272
265	26.5	2.181606	1.086393
266	26.6	2.189988	1.089269
267	26.7	2.197989	1.093775
268	26.8	2.206371	1.09885
269	26.9	2.214677	1.10368
270	27	2.222932	1.108025
271	27.1	2.231034	1.112047
272	27.2	2.239112	1.115757
273	27.3	2.247722	1.122134
274	27.4	2.256003	1.125171
275	27.5	2.264207	1.130063
276	27.6	2.272309	1.135117
277	27.7	2.280641	1.137941
278	27.8	2.288997	1.141655
279	27.9	2.297684	1.14772
280	28	2.30599	1.15329
281	28.1	2.313686	1.153962
282	28.2	2.322652	1.161105
283	28.3	2.330628	1.16435
