 Instron DAT-file 
 ================ 
 
Test data:
----------
Filename : 	nylon11.DAT
Date : 	 5JUL12  
User : 	kvds                          
Sample ID : 	nylon1  
Machine : 	4505
Test Type : 	Tensile
Method number : 	0   	Tensile               kvds            6/10/2010             
Sample Temp : 	20	°C
Humidity : 	50	%
Speed : 	100	mm/min
Samplerate : 	10	pts/s
Specimen gauge length : 	400	mm
Grip distance : 	400	mm
 
Specimen data:
--------------
Specimen number : 	1
Specimen geometry : 	cylindrical
Surface : 	.785	mm²
Diameter : 	1	mm
Extensometer removed at point :  0 
Max Load : 	.2108936	kN
Displ. at Max Load : 	.61378	mm
Comment : 	
 
Test results :
--------------
Point nr.	Time [s]	Displ [mm]	Load [kN]
181	18.1	27.755013	0.06041
182	18.2	27.92001	0.060452
183	18.3	28.085008	0.061499
184	18.4	28.25501	0.059915
185	18.5	28.42001	0.060428
186	18.6	28.590012	0.060551
187	18.7	28.75501	0.061223
188	18.8	28.920007	0.060848
189	18.9	29.090009	0.060767
190	19	29.255009	0.061559
191	19.1	29.420007	0.060968
192	19.2	29.590009	0.062887
193	19.3	29.755009	0.062869
194	19.4	29.920006	0.061806
195	19.5	30.090009	0.058422
196	19.6	30.255006	0.003436
197	19.7	30.425008	0.003337
198	19.8	30.590008	0.003017
199	19.9	30.755006	0.002946
200	20	30.920003	0.002852
201	20.1	31.090005	0.003353
202	20.2	31.255005	0.003199
203	20.3	31.425008	0.002371
204	20.4	31.590005	0.002378
205	20.5	31.755005	0.00272
206	20.6	31.920002	0.002277
207	20.7	32.090005	0.001649
208	20.8	32.255002	0.00223
209	20.9	32.420002	0.002725
210	21	32.51609	0.004298
211	21.1	32.509995	0.003517
212	21.2	32.504127	0.003345
213	21.3	32.498919	0.003535
214	21.4	32.495007	0.00316
215	21.5	32.492036	0.002305
216	21.6	32.489472	0.00224
217	21.7	32.486804	0.002363
218	21.8	32.483882	0.001938
219	21.9	32.48185	0.003293
220	22	32.479791	0.003004
221	22.1	32.478268	0.002647
222	22.2	32.476924	0.003579
223	22.3	32.475755	0.001949
224	22.4	32.474992	0.003571
225	22.5	32.474559	0.003293
226	22.6	32.473799	0.003071
227	22.7	32.473112	0.003043
228	22.8	32.472527	0.00323
229	22.9	32.472046	0.004413
230	23	32.471589	0.003887
231	23.1	32.471234	0.0028
232	23.2	32.470929	0.001886
233	23.3	32.470599	0.002227
234	23.4	32.470368	0.002595
235	23.5	32.470166	0.003225
